,major_genre,title,subgenre,seasons,episodes,viewer_score,rating,company_name,release_data
90,Drama,Lucifer,Drama,2,31,93,TV-14,FOX,2015
91,Drama,The O.C.,Drama|Drama~Romance|Teen,4,92,81,TV-14,Warner Bros.,2003
92,Comedy,Inside Amy Schumer,Comedy~Sketch Comedy,4,39,75,TV-MA,Comedy Central,2013
93,Drama,Rizzoli & Isles,Drama~Police Drama|Drama~Medical Drama,7,105,89,TV-14,TNT,2010
94,Family Animation,Rugrats,Animation~Saturday Morning Cartoons|Family Animation,9,166,77,TV-Y,Nickelodeon,1990
95,Drama,Blue Bloods,Drama~Police Drama,7,155,91,TV-14,CBS,2010
96,Family Animation,Rabbids Invasion,Animation|Videogames|Family Animation,2,52,69,TV-Y7,Nickelodeon,2013
97,Comedy,Frasier,Comedy~Sitcoms,11,264,85,TV-PG,CBS,1993
98,Family Animation,Gravity Falls,Animation|Family Animation,2,40,92,TV-Y7,Disney XD,2012
99,Drama,Mistresses,Drama,4,52,86,TV-14,ABC,2013
992,Anime,Inuyasha,Anime|International~Japanese,7,334,87,TV-14,Viz Media,2000
993,Family Animation,Clarence,Animation|Family Animation,2,77,67,TV-PG,Cartoon Network,2013
994,Family Live Action,Drake & Josh,Family Animation|Comedy,4,47,79,TV-G,Nickelodeon,2004
995,Family Animation,Hey Arnold!,Animation~Saturday Morning Cartoons|Family Animation|Teen,5,99,82,TV-Y7,Nickelodeon,1994
996,Drama,East Los High,Drama|Latino|Teen,4,60,83,TV-14,Hulu Original Series,2013
997,Family Live Action,Sesame Street,Family Animation,3,60,67,TV-Y,Sesame Street,1969
998,Comedy,Casual,Comedy,3,36,91,TV-MA,Hulu Original Series,2015
999,Drama,Chicago P.D.,Drama~Crime and Courtroom Drama|Drama~Police Drama,1,23,91,TV-14,NBC,2014
1000,Family Live Action,"Ready, Steady, Wiggle!",Family Animation,2,104,44,TV-G,Australian Broadcasting Corporation,2013
